[2025-08-29T20:06:26.250Z] GET /src/pages/Dashboard.tsx -> 200 (108ms)
[2025-08-29T20:06:26.250Z] GET /src/pages/Flows.ts -> 200 (108ms)
[2025-08-29T20:06:26.250Z] GET /src/pages/Configuration.tsx -> 200 (108ms)
[2025-08-29T20:06:26.250Z] GET /src/pages/Documentation.tsx -> 200 (108ms)
[2025-08-29T20:06:26.250Z] GET /src/pages/Login.tsx -> 200 (108ms)
[2025-08-29T20:06:26.251Z] GET /src/pages/Callback.tsx -> 200 (109ms)
[2025-08-29T20:06:26.250Z] GET /src/components/Sidebar.tsx -> 200 (108ms)
[2025-08-29T20:06:26.250Z] GET /src/components/CredentialSetupModal.tsx -> 200 (108ms)
[2025-08-29T20:06:26.289Z] GET /favicon.ico -> 200 (6ms)
[2025-08-29T20:06:33.771Z] GET / -> 200 (4ms)
[2025-08-29T20:06:33.841Z] GET /@vite/client -> 200 (3ms)
[2025-08-29T20:06:33.841Z] GET /@react-refresh -> 200 (3ms)
[2025-08-29T20:06:33.842Z] GET /src/main.tsx -> 200 (3ms)
[2025-08-29T20:06:33.860Z] GET /node_modules/vite/dist/client/env.mjs -> 200 (9ms)
[2025-08-29T20:06:33.860Z] GET /node_modules/.vite/deps/react_jsx-dev-runtime.js?v=bcf562e2 -> 200 (8ms)
[2025-08-29T20:06:33.860Z] GET /node_modules/.vite/deps/react.js?v=bcf562e2 -> 200 (5ms)
[2025-08-29T20:06:33.866Z] GET /node_modules/.vite/deps/react-router-dom.js?v=bcf562e2 -> 200 (5ms)
[2025-08-29T20:06:33.866Z] GET /src/App.tsx -> 200 (3ms)
[2025-08-29T20:06:33.866Z] GET /src/styles/global.ts -> 200 (3ms)
[2025-08-29T20:06:33.866Z] GET /node_modules/.vite/deps/styled-components.js?v=bcf562e2 -> 200 (3ms)
[2025-08-29T20:06:33.866Z] GET /node_modules/.vite/deps/react-dom_client.js?v=bcf562e2 -> 200 (7ms)
[2025-08-29T20:06:33.879Z] GET /node_modules/.vite/deps/chunk-AMZ7Q62Q.js?v=bcf562e2 -> 200 (9ms)
[2025-08-29T20:06:33.892Z] GET /src/components/Navbar.tsx -> 200 (11ms)
[2025-08-29T20:06:33.892Z] GET /node_modules/.vite/deps/chunk-XHCDW3LY.js?v=bcf562e2 -> 200 (17ms)
[2025-08-29T20:06:33.893Z] GET /src/components/CredentialSetupModal.tsx -> 200 (11ms)
